Name,Cost,Requirements,Description
Ambidestria,2,,"O Personagem pode manusear armas e instrumentos tanto com a mão direita, quanto com a esquerda, com igual eficiência. Também pode usar duas armas brancas ao mesmo tempo, se forem pequenas o bastante para o uso com uma única mão.
Estão fora dessa categoria arcos, bestas, lanças, a maioria dos machados e martelos e as grandes espadas. A ambidestria afeta apenas Perícias baseadas em Destreza, não em Agilidade: boxe, artes marciais e outras não recebem beneficias pela ambidestria."
Arma de Família,1,,"As armas são parte da família. Personagens com esse Aprimoramento terão uma arma de família de qualidade superior (tipo de arma à sua escolha). Uma arma de qualidade superior oferece sempre +5% em todos os Testes de Ataque ou de Defesa, e +1 no dano final, mas não são consideradas mágicas. O Personagem jamais pode perder essa arma ou será como se tivesse perdido um ente querido."
Ataque Bruto,1,,"Quando você realiza as ações de ataque ou ataque total num combate corpo-a-corpo, pode escolher subtrair até 10% por nível do seu valor de defesa e acrescentar esse valor como bónus de ataque. 
As alterações nas jogadas de ataque e na defesa duram até a sua próxima ação."
Ataque em Movimento,2,,"Quando usando a ação de ataque com uma arma corpo-a-corpo, você pode se mover tanto antes, quanto depois do ataque, desde que a distância total percorrida não seja maior que a metade de seu AGI em metros. Você não pode usar este aprimoramento enquanto vestir uma armadura pesada. Você precisa se mover pelo menos 1,5m tanto antes quando depois para se beneficiar dos beneficias do Ataque em Movimento."
Ataque Poderoso,1,,"O personagem é capaz de realizar ataques excepcionalmente poderosos e brutais, deixando de lado boa parte de sua técnica. Para cada 10% de penalidade que ele dá a si mesmo, ele aumenta o dano resultante de seu ataque em + 1."
Concentração,2,,"O Personagem é capaz de concentrar-se em seus afazeres com extrema facilidade. Faça um Teste de WILL e, se for bem sucedido, tornará a dificuldade do ato que esteja realizando mais fácil (um Teste Difícil torna-se um Teste Normal). Essa habilidade funciona em meio a um combate, desde que você não esteja fazendo ou recebendo qualquer ataque."
Especialização em Combate,1,,"Quando você realiza as ações de ataque ou ataque total num combate corpo-a-corpo, pode escolher subtrair até 10% por Nível do seu valor de ataque e acrescentar esse valor como bónus de esquiva. As alterações nas jogadas de ataque e na defesa duram até a sua próxima ação."
Boa fama (1),1,,"Reconhecido de um bairro
Você é famoso por seus feitos entre as pessoas mortais, sendo uma figura de destaque na midia, política, submundo ou algum outro tipo de ambiente mundano, onde todos reconhecem seu nome e ele é freqüentemente um dos assuntos referidos do público. Este tipo de reputação reflete um melhor tratamento por parte dos NPCs, uma série de convites para reuniões e festas, assédio de tas, ou dezenas de pessoas que querem aprender com você. Existe um motivo para que esse aprimoramento tenha quatro níveis e que o seu irmão, o ""Má Fama"" tenha apenas três: as más noócias correm mais rápido."
Boa fama (2),2,,"Reconhecido de um alguns bairros, uma cidade pequena.
Você é famoso por seus feitos entre as pessoas mortais, sendo uma figura de destaque na midia, política, submundo ou algum outro tipo de ambiente mundano, onde todos reconhecem seu nome e ele é freqüentemente um dos assuntos referidos do público. Este tipo de reputação reflete um melhor tratamento por parte dos NPCs, uma série de convites para reuniões e festas, assédio de tas, ou dezenas de pessoas que querem aprender com você. Existe um motivo para que esse aprimoramento tenha quatro níveis e que o seu irmão, o ""Má Fama"" tenha apenas três: as más noócias correm mais rápido."
Boa fama (3),3,,"Reconhecido em algumas cidades pequenas, uma metrópole.
Você é famoso por seus feitos entre as pessoas mortais, sendo uma figura de destaque na midia, política, submundo ou algum outro tipo de ambiente mundano, onde todos reconhecem seu nome e ele é freqüentemente um dos assuntos referidos do público. Este tipo de reputação reflete um melhor tratamento por parte dos NPCs, uma série de convites para reuniões e festas, assédio de tas, ou dezenas de pessoas que querem aprender com você. Existe um motivo para que esse aprimoramento tenha quatro níveis e que o seu irmão, o ""Má Fama"" tenha apenas três: as más noócias correm mais rápido."
Boa fama (4),4,,"Reconhecido em algumas metrópoles, um estado ou região.
Você é famoso por seus feitos entre as pessoas mortais, sendo uma figura de destaque na midia, política, submundo ou algum outro tipo de ambiente mundano, onde todos reconhecem seu nome e ele é freqüentemente um dos assuntos referidos do público. Este tipo de reputação reflete um melhor tratamento por parte dos NPCs, uma série de convites para reuniões e festas, assédio de tas, ou dezenas de pessoas que querem aprender com você. Existe um motivo para que esse aprimoramento tenha quatro níveis e que o seu irmão, o ""Má Fama"" tenha apenas três: as más noócias correm mais rápido."
Caçador de Criatura (1),1,,"Quando o Jogador escolhe este Aprimoramento, seu Personagem possui a ""missão"" de caçar e exterminar algum tipo de criatura especifica (vampiros, dragões, akumas, asuras, etc) por um motivo qualquer (vingança, ódio, dinheiro, juramento). 
O personagem passar a vida toda atrás desse objetivo e sempre se aliará a outros caçadores. O Jogador pode escolher também uma raça inteira (humanos, vedaans, nekos, etc) como a criatura caçada, mas nesse caso será necessário uma boa explicação.
O personagem possui Conhecimento sobre o tipo de criatura que caça com 30%, além de saber como encontrá-los, ou mesmo como destrui-los. Também recebe +5% em todos os Testes de Perícia e combate contra essa criatura, acrescidos de um bónus de + 1 no dano."
Caçador de Criatura (2),2,,"Quando o Jogador escolhe este Aprimoramento, seu Personagem possui a ""missão"" de caçar e exterminar algum tipo de criatura especifica (vampiros, dragões, akumas, asuras, etc) por um motivo qualquer (vingança, ódio, dinheiro, juramento). 
O Personagem passar a vida toda atrás desse objetivo e sempre se aliará a outros caçadores. O Jogador pode escolher também uma raça inteira (humanos, vedaans, nekos, etc) como a criatura caçada, mas nesse caso será necessário uma boa explicação.
O Personagem possui conhecimento de determinado tipo de criatura com 45% e conhece outros caçadores como ele. Pode vir a pertencer a um grupo organizado com esse fim. Também recebe +10% em todos os Testes de Perícia e combate contra essa criatura, acrescidos de um bónus de +2 no dano."
Especialização em Combate,1,,"Quando você realiza as ações de ataque ou ataque total num combate corpo-a-corpo, pode escolher subtrair até 10% por Nível do seu valor de ataque e acrescentar esse valor como bónus de esquiva. 
As alterações nas jogadas de ataque e na defesa duram até a sua próxima ação."
Foco em arma,1,,"Escolha um tipo de arma.
Você ganha um bónus de + 10% em todas as jogadas de ataque realizadas com a arma escolhida.
Você pode escolher esse Aprimoramento diversas vezes porém seus efeitos não acumulam. 
Cada vez que você escolher esse talento, ele se aplica a uma nova arma. 
Sempre que você passa de nível recebe novo bónus de + 10% nessa perícia."
Foco em arma maior,1,,"Escolha um tipo de arma para a qual você já tenha escolhido Foco em Arma. 
Você ganha um bónus de + 10% em todas as jogadas de ataque realizadas com a arma escolhida. 
Este bónus acumula com outros bónus na jogada de ataque, inclusive o bónus de Foco em Arma.
 Você pode escolher esse talento diversas vezes porém seus efeitos não acumulam. 
Cada vez que você escolher esse talento, ele se aplica a uma nova arma."
Golpe arrasador,1,,"Uma vez por combate, o personagem pode fazer um teste de ataque contra a perícia equivalente do oponente. Caso seja bem sucedido ele recebe um bônus na sua próxima jogada de ataque igual a diferença que obteve no teste."
Intimidação do Olhar,1,,"Sempre que você tentar intimidar um oponente olhando em seus olhos, você pode somar o seu Nível de personagem a seu valor da perícia Intimidar. 
Caso você seja bem sucedido num teste de Intimidar, o oponente intimidado sofre um redutor de 10% em todos os testes que fizer contra você."
Intimidação Prolongada,1,,"É difícil esquecer a sua Intimidação. Caso você seja bem sucedido num teste de Intimidar, o oponente intimidado sofre um redutor de 10% em todos os testes que fizer contra você, por um número de rodadas igual a seu Nível de personagem."
Mestre,1,,"Todo o Personagem teve, em algum momento de sua aprendizado, um Mestre ou Professor que lhe ensinou sobre suas habilidades - especialmente se essas habilidades são muito incomuns. O Mestre do Jogo deve criar toda a história e características do seu mentor, definindo à seu próprio gosto a personalidade, fraquezas, objetivos e problemas que ele enfrenta. Seu Mestre é um NPC que pode ainda estar vivo ou não. Mesmo que seu mestre esteja morto ou muito distante ele ainda pode auxiliá-lo: em momentos de dificuldade você pode se lembrar de alguma técnica ou ensinamento que recebeu."
Mobilidade,1,,"Você é especialmente ágil para se mover dentro de um combate sem ser atingido. Enquanto estiver se movendo dentro de uma área de luta (um campo de batalha, por exemplo) sem combater nenhum inimigo em particular você pode adicionar 20% a seu valor de esquiva."
Noção de Perigo,2,,"Você de vez em quando sente um arrepio dizendo que há alguma coisa de errado. Toda vez que a situação envolver um desastre eminente, uma emboscada, ou qualquer perigo do gênero, o Mestre fará em segredo, um Teste de PER Se obtiver um sucesso, ele te dirá que você pressente que alguma coisa está errada. Um acerto critico fará com que o Mestre lhe dê alguns detalhes sobre a natureza do perigo."
Patrono,2,,"Um patrono é alguém ou uma organização para qual o Personagem trabalha. Pode ser um governador, um daimyo, uma ordem militar ou religiosa, uma sociedade secreta, etc. O seu patrono fornece, dentro de certo limites, todo o tipo de equipamento, armamento e financiamento que o personagem precisar, mas em troca ele deve realizar todas as missões, cumprir ordens e obter todos os resultados que lhe forem solicitados."
Recursos e dinheiro (1),1,,"É quanto de dinheiro, jóias e posses seu Personagem conseguiu reunir ao longo de seus anos de vida. Inclui propriedades e outras fontes de renda que levam tempo até serem convertidas em dinheiro. Os valores a seguir são fornecidos em yens (moedas de ouro locais). O jogador deve dar uma explicação convincente de como seu personagem conseguiu esses recursos. O Personagem possui ao todo cerca de 50 vezes o valor de sua renda.
Renda de até 200 yens mensais"
Recursos e dinheiro (2),2,,"É quanto de dinheiro, jóias e posses seu Personagem conseguiu reunir ao longo de seus anos de vida. Inclui propriedades e outras fontes de renda que levam tempo até serem convertidas em dinheiro. Os valores a seguir são fornecidos em yens (moedas de ouro locais). O jogador deve dar uma explicação convincente de como seu personagem conseguiu esses recursos. O Personagem possui ao todo cerca de 50 vezes o valor de sua renda.
Renda de até 400 yens mensais"
Recursos e dinheiro (3),3,,"É quanto de dinheiro, jóias e posses seu Personagem conseguiu reunir ao longo de seus anos de vida. Inclui propriedades e outras fontes de renda que levam tempo até serem convertidas em dinheiro. Os valores a seguir são fornecidos em yens (moedas de ouro locais). O jogador deve dar uma explicação convincente de como seu personagem conseguiu esses recursos. O Personagem possui ao todo cerca de 50 vezes o valor de sua renda.
Renda de até 800 yens mensais"
Recursos e dinheiro (4),4,,"É quanto de dinheiro, jóias e posses seu Personagem conseguiu reunir ao longo de seus anos de vida. Inclui propriedades e outras fontes de renda que levam tempo até serem convertidas em dinheiro. Os valores a seguir são fornecidos em yens (moedas de ouro locais). O jogador deve dar uma explicação convincente de como seu personagem conseguiu esses recursos. O Personagem possui ao todo cerca de 50 vezes o valor de sua renda.
Renda de até 1600 yens mensais"
Recursos e dinheiro (5),5,,"É quanto de dinheiro, jóias e posses seu Personagem conseguiu reunir ao longo de seus anos de vida. Inclui propriedades e outras fontes de renda que levam tempo até serem convertidas em dinheiro. Os valores a seguir são fornecidos em yens (moedas de ouro locais). O jogador deve dar uma explicação convincente de como seu personagem conseguiu esses recursos. O Personagem possui ao todo cerca de 50 vezes o valor de sua renda.
Renda de até 3200 yens mensais"
Reputação (1),2,,"Existe uma diferença fundamental entre Fama e Reputação: um personagem com Fama É freqüentemente reconhecido pela população, pois é um elemento de destaque momentâneo nos núcleos sociais. Entretanto um personagem com Reputação já teve sua época de fama, mas acabou conservando-a até o presente e as pessoas podem vir a se recordar de seu período de glória no passado. É quase como ser uma própria lenda.
Seu nome já foi famoso. Você teve seu auge. Hoje, porém, já são poucos que o conhecem. A cada pessoa que encontrar, você tem uma chance de 20% dela conhecê-lo."
Reputação (2),3,,"Existe uma diferença fundamental entre Fama e Reputação: um personagem com Fama É freqüentemente reconhecido pela população, pois é um elemento de destaque momentâneo nos núcleos sociais. Entretanto um personagem com Reputação já teve sua época de fama, mas acabou conservando-a até o presente e as pessoas podem vir a se recordar de seu período de glória no passado. É quase como ser uma própria lenda.
Seu nome foi sinónimo de terror ou revolução. Sua participação junto à humanidade pode estar (ou vir a ser) citada em livros de história. A cada pessoa que encontrar, você tem uma chance de 50% dela conhecê-lo"
Reputação (3),4,,"Existe uma diferença fundamental entre Fama e Reputação: um personagem com Fama É freqüentemente reconhecido pela população, pois é um elemento de destaque momentâneo nos núcleos sociais. Entretanto um personagem com Reputação já teve sua época de fama, mas acabou conservando-a até o presente e as pessoas podem vir a se recordar de seu período de glória no passado. É quase como ser uma própria lenda.
Seu nome é um ícone central da sociedade. Seus atos foram responsáveis, em algum aspecto, pelo estado atua! da sociedade mundana em grande parte do mundo. O personagem conquistou uma fama internacional devido à sua participação decisiva junto à história (um alquimista que descobriu a cura para uma doença, um filósofo que fotrnulou uma teoria, um profeta cujos predizeres estavam corretos, um grande general, etc) e até os seres sobrenaturais podem reconhecer seu nome. Biografias são escritas sobre você, convites para entrevistas e festas chegam às toneladas e seu nome é usada sempre precedido dos adjetivos ""Mestre"" e ""Grande"". A cada pessoa que encontrar, você tem uma chance de 90% dela conhecê-lo."
Resistência à Dor,3,,"O personagem possui alta resistência à dor, não importa quanto dano físico sofra, ele não sentirá os ferimentos com a mesma intensidade que as demais pessoas sentem, e nem receber penalidades correspondentes por isso. Considere que o personagem mantém-se consciente mesmo quando seus PV s atingirem o valor O, e só irá desmaiar (morrer) quando chegarem a- 5 (à exceção de golpes localizados na cabeça, desferidos para atordoá-lo)."
Sabio,1,,"Existe uma Perícia (exceto Perícias de combate) na qual seu Personagem conhece absolutamente tudo o que existe a respeito. Considere que ele tenha 90% nessa Perícia, além de experiência, contatos e conhecimentos relacionados a essa área. Cada Personagem pode escolher este Aprimoramento somente UMA vez e no máximo dois Personagens de cada grupo podem escolhê-lo. Durante o Jogo, o Mestre pode ajudar o Personagem em questões relacionadas a Perícia escolhida, com idéias, sugestões e o melhor procedimento a ser tomado."
Senhor de Prestígio,1,,"O senhor ou Daymo do personagem tem grande influência dentro do regime de Shogunato ou dentro de um clã de samurais, e só pelo fato de você estar servindo a este senhor lhe concede um certo prestígio a tratar com outros cidadãos e até com alguns membros de classe social superior à sua."
Servo comum,2,,"Você tem um servo de confiança que por alguma razão escolheu segui-lo por toda a sua vida, servindo-lhe. Este servo é totalmente leal a você e às suas convicções e morreria por você se fosse necessário.
O personagem ainda é responsável pela saúde e pelo bem estar do servo e será responsabilizado legalmente por tudo o que ele fizer."
Servo samurai,4,,"Você tem um servo de confiança que por alguma razão escolheu segui-lo por toda a sua vida, servindo-lhe. Este servo é totalmente leal a você e às suas convicções e morreria por você se fosse necessário.
O personagem ainda é responsável pela saúde e pelo bem estar do servo e será responsabilizado legalmente por tudo o que ele fizer."
Servo magistrado,6,,"Você tem um servo de confiança que por alguma razão escolheu segui-lo por toda a sua vida, servindo-lhe. Este servo é totalmente leal a você e às suas convicções e morreria por você se fosse necessário.\r\n O personagem ainda é responsável pela saúde e pelo bem estar do servo e será responsabilizado legalmente por tudo o que ele fizer."
"Sociedade Secreta, Externo",1,,"Por suas habilidades, você foi escolhido e recrutado por uma sociedade secreta, onde você será treinado e aprenderá a refinar suas aptidões. Ou talvez você não tenha sido recrutado: você simplesmente nasceu dentro desse grupo. Sendo membro de uma Sociedade Secreta, você receberá regalias e inimigos. Existem varias ordens, tanto de magos quanta de samurais, para saber quais os beneficias e maleficios de cada uma consulte o Mestre.
Seu Personagem pertence à Sociedade, mas como um membro dos circulas externos, ou aprendizes. A maioria dos Ninjas está nessa categoria."
"Sociedade Secreta, Interno",2,,"Por suas habilidades, você foi escolhido e recrutado por uma sociedade secreta, onde você será treinado e aprenderá a refinar suas aptidões. Ou talvez você não tenha sido recrutado: você simplesmente nasceu dentro desse grupo. Sendo membro de uma Sociedade Secreta, você receberá regalias e inimigos. Existem varias ordens, tanto de magos quanta de samurais, para saber quais os beneficias e maleficios de cada uma consulte o Mestre.
Seu Personagem já possui uma influência maior dentro da Sociedade e, assim, pertence aos círculos mais internos dela (possuindo talvez até algum titulo mais importante)."
Status (1),1,,"Você possui uma certa reputação e uma estabilidade nas comunidades civilizadas. Esse status costuma ser determinado pelo de seu Mestre, e pelo respeito devido à sua linhagem e à sua classe social. Quanto mais Status você possui, melhor será tratado pelos poderosos, e mais respeitado você será. A grande população de Lieh pode ser considerada detentora de Status zero, a não ser que tenham adquirido tanto poder e atenção que precisem ser tratados com respeito. O Status é usado algumas vezes para modificar os testes de que envolvam pericias sociais e reflete o seu prestígio nesses casos.
um adivinho, professor ou astrólogo, samurai em começo de carreira."
Status (2),2,,"Você possui uma certa reputação e uma estabilidade nas comunidades civilizadas. Esse status costuma ser determinado pelo de seu Mestre, e pelo respeito devido à sua linhagem e à sua classe social. Quanto mais Status você possui, melhor será tratado pelos poderosos, e mais respeitado você será. A grande população de Lieh pode ser considerada detentora de Status zero, a não ser que tenham adquirido tanto poder e atenção que precisem ser tratados com respeito. O Status é usado algumas vezes para modificar os testes de que envolvam pericias sociais e reflete o seu prestígio nesses casos.
um nobre, um samurai respeitado, um sacerdote ou monge."", ""um governante de cidade ou um lorde de terras, um daimyo menor."
Status (3),3,,"Você possui uma certa reputação e uma estabilidade nas comunidades civilizadas. Esse status costuma ser determinado pelo de seu Mestre, e pelo respeito devido à sua linhagem e à sua classe social. Quanto mais Status você possui, melhor será tratado pelos poderosos, e mais respeitado você será. A grande população de Lieh pode ser considerada detentora de Status zero, a não ser que tenham adquirido tanto poder e atenção que precisem ser tratados com respeito. O Status é usado algumas vezes para modificar os testes de que envolvam pericias sociais e reflete o seu prestígio nesses casos.
um governante de província, um daimyo maior, membro da corte do imperador."
Status (4),4,,"Você possui uma certa reputação e uma estabilidade nas comunidades civilizadas. Esse status costuma ser determinado pelo de seu Mestre, e pelo respeito devido à sua linhagem e à sua classe social. Quanto mais Status você possui, melhor será tratado pelos poderosos, e mais respeitado você será. A grande população de Lieh pode ser considerada detentora de Status zero, a não ser que tenham adquirido tanto poder e atenção que precisem ser tratados com respeito. O Status é usado algumas vezes para modificar os testes de que envolvam pericias sociais e reflete o seu prestígio nesses casos.
Imperador"
Temperamento Calmo,2,,"O Personagem é uma pessoa com grande conhecimento e controle sobre suas emoções, sendo capaz de medir suas alterações de comportamento. Isso impede que ele fica agitado ou bravo facilmente, bem como se manter tranqüilo frente à um inimigo e não demonstrar medo (embora esteja realmente apavorado). Dobre todos os valores de um Teste quando a situação estiver relacionada à dissimulação ou auto-controle (como Força de Vontade, Carisma, Lábia, lntimidação, Meditação e outros)."
Tiro Certeiro,1,,Você ganha um bónus de +10% nas jogadas de ataque e + 1 nas jogadas de dano com armas de ataque à distância dentre 9m.
Tiro em Movimento,1,AGI e DEX maiores que 13 e pelo menos 40% na perícia de arma de alcance,"Quando usando a ação de ataque com uma arma de alcance, você pode se mover tanto antes, quanto depois do ataque, desde que a distância total percorrida não seja maior que seu valor de AGI em metros."
Tiro Longo,1,"Aprimoramento ""Tiro Certeiro""","Quando você usa uma arma de projétil, como um arco, a distância atingida é aumentada em 50% (multiplique por 1,5). Quando você usa uma arma de arremesso, a distância atingida é dobrada.
Isso afeta a distancia do Tiro Certeiro e Tiro Múltiplo"
Tiro Múltiplo,2,,"Como uma ação de combate, você pode atirar duas flechas contra um único oponente até uma distância de 9m. Ambas as flechas usam a mesma jogada de ataque (com uma penalidade de -20%) para determinar o sucesso e causar dano normalmente. Para cada 25% de pericia com arco e flecha que você tiver acima de 35%, você pode adicionar uma flecha a mais neste ataque até um máximo de 4 flechas. Porém, cada flecha depois da segunda adiciona uma penalidade cumulativa na jogada de ataque (com um total de -30% para três flechas e -40% para quatro). Indice de proteção e outras resistências se aplicam separadamente contra cada flecha atirada."
Tiro Preciso,1,"Aprimoramento ""Tiro Certeiro""",Você pode atirar ou arremessar uma arma de alcance num oponente engajado em combate corpo-a-corpo sem receber a penalidades na sua jogada de ataque.
Tiro Rápido,1,,"Você pode fazer um ataque extra por rodada com uma arma de ataque à distância. Este ataque é feito normalmente, mas cada ataque que fizer nesta rodada (os ataques regulares e o extra) é submetido a um redutor de -10%, cada. Você precisa usar uma ação de rodada completa para utilizar este talento."
Alcoólatra,-1,,"O personagem é viciado em álcool, ou uma bebida especifica. Sempre que ele estiver próximo da bebida, o Mestre deve exigir um Teste de WILL caso ele queira evitá-la. Para um personagem bêbado, TODOS os Testes são Difíceis."
Andrógino,-1,,"O Personagem tem a aparência fisica trocada, seu corpo tem os traços do sexo oposto, o que faz com que ele seja facilmente confundido com uma mulher (se o personagem for um homem) ou com um homem (se for uma mulher). Terá um corpo truculento, se for mulher, e um corpo frágil se for homem."
Aparência Trocada,-1,,"O Personagem é incrivelmente idêntico a uma outra pessoa. Ambos são fisicamente iguais, mas possuem personalidades e comportamento muito diferentes. Mesmo para os amigos mais próximos, é quase impossível distinguir quem é quem apenas baseando-se na aparência. Isso pode trazer multos problemas para o Personagem, pois geralmente o seu ""gêmeo"" costuma meter-se em encrencas e você acaba sendo considerado o culpado."
Código de Honra,-1,,"O personagem segue algum rígido código de conduta e jamais poderá desobedecê-lo, nem mesmo que sua vida dependa disso. Existem muitos códigos de honra, mas para o samurai existe apenas o Bushido, o caminho do guerreiro."
Compulsão,-1,,"O personagem sente uma necessidade incontrolável de fazer uma certa tarefa. Se trata de algum tique nervoso, que o personagem repete compulsivamente sem que ele próprio perceba (limpar a arma, lavar as mãos, piscar o olho, pronunciar ao final de cada frase a palavra ""né"", chamar a todos por tio/ tia, etc). Embora pareça uma desvantagem fraca ela pode trazer conseqüências desastrosas, como chamar um poderoso senhor de terras de tio ..."
Coração Mole,-1,,"O seu Personagem é muito sentimental e não é capaz de ver ninguém sofrer. Ele acredita que todos, sem distinção, merecem a clemência, o perdão e uma segunda chance. Por isso, ele NUNCA recusa nenhum pedido de ajuda e jamais irá matar ou ferir gravemente seu oponente durante uma batalha, preferindo deixá-lo inconsciente ou até mesmo perder a luta. O sofrimento é algo que ninguém merece."
Dever,-1,,"Você deve obediência a uma pessoa, ordem militar, hierárquica, religiosa ou a uma obsessão. Sua vida é dedicada a cumprir seus deveres com essa entidade e nada mais na sua vida importa: nem mesmo sua vida. Um personagem com esse apnmoramento negativo raramente afasta-se do seu grande objetivo e quando o faz não consegue se concentrar direito no que esta fazendo. Ele sofre um redutor de -20% em todas a suas perícias. Em adição a isso o personagem não pode desobedecer a entidade a que ele serve. Ele prefere morrer a fazer isso. Se um samurai falha com seu dever, ele prefere morrer do que viver com a vergonha. Caso ele escolha viver com a vergonha ele se torna um Ronin."
Dificuldade de Fala,-1,,"O personagem é gago, tem a lingua presa, ou qualquer outro problemas de dicção que dificulta o entendimento do que ele fala pelas outras pessoas. Esse aprimoramento deve ser interpretado à mesa de jogo."
Distração,-1,,"O personagem não consegue se concentrar em nada, vivendo no mundo das nuvens. Todos os Testes de WIIL para se concentrar são Dificeis. Um personagem com Distração não pode comprar o Aprimoramento Concentração."
Excesso de confiança,-1,,"Você se enxerga mais forte, sábio e competente do que realmente é. Estará sempre se gabando de sua superioridade e procurando oportunidades para demonstrá-las a todos á sua volta. Sempre que você se envolver em uma situação onde suas habilidades não são capazes de resolver o problema, ou você estiver em desvantagem numérica, só vai abandonar a tarefa ou a luta se for bem sucedido num teste de Força de Vontade (dificil) e mesmo assim vai culpar algum fator externo pelas coisas não terem saído certo."
Fanático,-2,,"Sua vida é devotada a algum objetivo específico. O Personagem persegue incessantemente esse objetivo, e todos seus atos são guiados por ele. Toda a vida dele é regida por esta causa e nada o fará desistir dela, pois ele acredita que valha qualquer sacrificio em seu nome. Pode ser fanatismo religioso, nacionalismo fervoroso, a busca incansável por um artefato lendário, uma vingança pessoal."
Glutão,-1,,"Você está sempre faminto. Não importa o quanto coma, você sempre terá aquela sensação eminente de fome. Esse aprimoramento é uma compulsão mental. A cada 3 horas você deve se alimentar fartamente ou comer algum tipo de doce. Caso não possa se alimentar deve fazer um Teste de Força de Vontade. Em caso de falha ficará com um redutor de -3 em Força até se alimentar novamente."
Identidade Secreta,-1,,"O Personagem com esse aprimoramento negativo não pode revelar a verdadeira natureza de sua existência. Ele deve fazer de tudo para que sua verdadeira identidade não seja revelada. Em outras palavras, ele é forçado a viver uma vida dupla: ele deve aparentar ter uma vida no~ com arrugos, uma residência fixa, um emprego ou profissão comum. Caso seja descoberto, sua vida estará em sério risco. Sempre que ele for agir, deve ter em mente alguma coisa que preserve sua identidade."
Intrometido,-1,,"Em Lieh a discrição é uma qualidade muito admirada, especialmente em lugares com rígidas normas sociais como é O caso de Handívia e Ryuujin. Infelizmente você é aquele que se intromete no que não é da sua conta. Sempre que for capaz de ouvir alguma conversa você vai se intrometer na mesma hora e dar sua opirúão sobre o assunto, mesmo que não seja convidado, ou que não seja prudente falar naquele momento. Sempre que você interrompe alguém, atrai sobre você um redutor de -20% em todos os testes sociais. Um personagem pode evitar se intrometer, fazendo um teste de Força de Vontade difícil."
Má fama (1),-1,,"Você é alguém famoso, mas devido aos seus crimes. Basicamente funciona exatamente corno o Aprimoramento Boa Fama, porém de uma maneira negativa, que faz a sociedade considerá-lo uma ""má pessoa"" ou um elemento perigoso, estando sempre sob suspeita e descrença.
alguns bairros, uma cidade pequena."
Má fama (2),-2,,"Você é alguém famoso, mas devido aos seus crimes. Basicamente funciona exatamente corno o Aprimoramento Boa Fama, porém de uma maneira negativa, que faz a sociedade considerá-lo uma ""má pessoa"" ou um elemento perigoso, estando sempre sob suspeita e descrença.
algumas cidades pequenas, uma metrópole."
Má fama (3),-3,,"Você é alguém famoso, mas devido aos seus crimes. Basicamente funciona exatamente corno o Aprimoramento Boa Fama, porém de uma maneira negativa, que faz a sociedade considerá-lo uma ""má pessoa"" ou um elemento perigoso, estando sempre sob suspeita e descrença.
algumas metrópoles, um estado ou região."
Marca do Predador,-1,,"Os animais reconhecem o personagem como uma ameaça, fugindo quando o sentem sua aproximação. Em alguns casos, os animais podem ser mais agressivos e tentar atacá-lo para se protegerem, ou a suas proles."
Pária,-1,,"Por algum motivo o personagem é considerado um pária da sociedade. Todos os que vivem naquela região o rejeitam e até o temem. Os camponeses o temem ou porque você quebrou a hierarquia de classes de Lieh, ou os samurais o desprezam porque você é apenas um arremedo mal-feito de ser humano. Todos os testes sociais de um paria são submeridos a um redutor de 20% , desde que o paria seja identificado como tal."
Senhor Indigno,-1,,"O senhor ou Daimyo é considerado indigno de confiança, é avarento, ou talvez trate mal os seus servos, mas independente dos motivos ele é detestado por muitos membros do regime de Shogunato ou dentro de um clã de samurais. O fato de você estar servindo a este senhor lhe traz muitos problemas, pois as pessoas tendem a te tratar mal. Ainda assim você segue seu senhor."
